model,ckpt_path,member_id,corruption,param,severity,accuracy
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,1,clean,none,0.0,0.6877609603340292
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,1,gaussian,sigma,0.0,0.6877609603340292
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,1,gaussian,sigma,0.05,0.6920668058455115
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,1,gaussian,sigma,0.1,0.6962421711899791
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,1,gaussian,sigma,0.2,0.7042014613778705
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,1,ch_dropout,p,0.0,0.6877609603340292
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,1,ch_dropout,p,0.1,0.6510960334029228
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,1,ch_dropout,p,0.3,0.5568893528183716
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,1,ch_dropout,p,0.5,0.45576722338204595
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,1,time_mask,L,0.0,0.6877609603340292
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,1,time_mask,L,5.0,0.6846294363256785
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,1,time_mask,L,10.0,0.6764091858037579
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,1,time_mask,L,20.0,0.6120824634655533
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,1,time_mask,L,40.0,0.37917536534446766
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,1,time_shift,k,0.0,0.6877609603340292
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,1,time_shift,k,2.0,0.7013308977035491
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,1,time_shift,k,5.0,0.7026356993736952
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,1,time_shift,k,10.0,0.6769311064718163
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,1,time_shift,k,20.0,0.5208768267223383
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,2,clean,none,0.0,0.7995473650177821
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,2,gaussian,sigma,0.0,0.7995473650177821
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,2,gaussian,sigma,0.05,0.8004364694471388
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,2,gaussian,sigma,0.1,0.7996281926931782
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,2,gaussian,sigma,0.2,0.7933236340122858
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,2,ch_dropout,p,0.0,0.7995473650177821
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,2,ch_dropout,p,0.1,0.752909796314258
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,2,ch_dropout,p,0.3,0.6432266408018106
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,2,ch_dropout,p,0.5,0.5186711930164889
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,2,time_mask,L,0.0,0.7995473650177821
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,2,time_mask,L,5.0,0.7802295505981248
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,2,time_mask,L,10.0,0.7522631749110895
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,2,time_mask,L,20.0,0.6650501131587455
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,2,time_mask,L,40.0,0.45999030067895247
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,2,time_shift,k,0.0,0.7995473650177821
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,2,time_shift,k,2.0,0.7932428063368897
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,2,time_shift,k,5.0,0.7780472033624313
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,2,time_shift,k,10.0,0.7521015195602975
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,2,time_shift,k,20.0,0.5851115421920465
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,3,clean,none,0.0,0.6685427752762997
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,3,gaussian,sigma,0.0,0.6685427752762997
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,3,gaussian,sigma,0.05,0.6681334424887434
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,3,gaussian,sigma,0.1,0.6687474416700778
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,3,gaussian,sigma,0.2,0.6692591076545231
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,3,ch_dropout,p,0.0,0.6685427752762997
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,3,ch_dropout,p,0.1,0.6412198117069178
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,3,ch_dropout,p,0.3,0.554952926729431
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,3,ch_dropout,p,0.5,0.45661072451903395
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,3,time_mask,L,0.0,0.6685427752762997
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,3,time_mask,L,5.0,0.6642447810069586
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,3,time_mask,L,10.0,0.6467458043389276
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,3,time_mask,L,20.0,0.5793082275890299
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,3,time_mask,L,40.0,0.39418747441670077
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,3,time_shift,k,0.0,0.6685427752762997
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,3,time_shift,k,2.0,0.6600491199345068
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,3,time_shift,k,5.0,0.6543184609087188
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,3,time_shift,k,10.0,0.6429594760540319
centralized_member2,lstm\centralized\base_lstm_member2_centralized.pt,3,time_shift,k,20.0,0.5064469914040115
federated_member2,lstm\federated\base_lstm_member2_federated.pt,1,clean,none,0.0,0.6804540709812108
